symbol,name
20MICRONS,20 Microns Limited
21STCENMGM,Twentyfirst Century Management Services Limited
360ONE,360 One Wam Limited
3IINFOLTD,3i Infotech Limited
3MINDIA,3M India Limited
3PLAND,3P Land Holdings Ltd
5PAISA,5paisa Capital Limited
63MOONS,63 moons technologies limited
A2ZINFRA,A2Z Infra Engineering Limited
AAATECH,AAA Technologies Limited
AADHARHFC,AADHAR HOUSING FINANCE L
AAKASH,Aakash Exploration Services Limited
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited
AARON,Aaron Industries Limited
AARTECH,Aartech Solonics Limited
AARTIDRUGS,Aarti Drugs Limited
AARTIIND,Aarti Industries Limited
AARTIPHARM,Aarti Pharmalabs Limited
AARTISURF,Aarti Surfactants Limited
AARVI,Aarvi Encon Limited
AAVAS,Aavas Financiers Limited
ABAN,Aban Offshore Limited
ABB,ABB India Limited
ABBOTINDIA,Abbott India Limited
ABCAPITAL,Aditya Birla Capital Limited
ABCOTS,A B COTSPIN INDIA LIMITED
ABDL,ALLIED BLEND N DISTILS L
ABFRL,Aditya Birla Fashion and Retail Limited
ABINFRA,A B INFRABUILD LIMITED
ABLBL,ADITYA BIRLA LIFES BRAN L
ABMINTLLTD,ABM International Limited
ABREL,Aditya Birla Real Estate Limited
ABSLAMC,Aditya Birla Sun Life AMC Limited
ACC,ACC Limited
ACCELYA,Accelya Solutions India Limited
ACCURACY,Accuracy Shipping Limited
ACE,Action Construction Equipment Limited
ACEINTEG,Ace Integrated Solutions Limited
ACI,Archean Chemical Industries Limited
ACL,Andhra Cements Limited
ACMESOLAR,ACME SOLAR HOLDINGS LTD
ACUTAAS,Acutaas Chemicals Limited
ADANIENSOL,Adani Energy Solutions Limited
ADANIENT,Adani Enterprises Limited
ADANIGREEN,Adani Green Energy Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
ADANIPOWER,Adani Power Limited
ADFFOODS,ADF Foods Limited
ADL,Archidply Decor Limited
ADOR,Ador Welding Limited
ADROITINFO,Adroit Infotech Limited
ADSL,Allied Digital Services Limited
ADVANCE,ADVANCE AGROLIFE LIMITED
ADVANIHOTR,Advani Hotels & Resorts (India) Limited
ADVENTHTL,Advent Hotels International Limited
ADVENZYMES,Advanced Enzyme Technologies Limited
AEGISLOG,AEGIS LOGISTICS LIMITED
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD
AEQUS,AEQUS LIMITED
AEROENTER,Aeroflex Enterprises Limited
AEROFLEX,Aeroflex Industries Limited
AERONEU,Aeroflex Neu Limited
AETHER,Aether Industries Limited
AFCONS,AFCONS INFRASTRUCTURE LTD
AFFLE,Affle 3i Limited
AFFORDABLE,Affordable Robotic & Automation Limited
AFIL,AKME FINTRADE (INDIA) LTD
AFSL,Abans Financial Services Limited
AGARIND,Agarwal Industrial Corporation Limited
AGARWALEYE,DR AGARWALS HEALTH CARE L
AGI,AGI Greenpac Limited
AGIIL,AGI Infra Limited
AGRITECH,Agri-tech (India) Limited
AGROPHOS,Agro Phos (India) Limited
AGSTRA,AGS Transact Technologies Limited
AHCL,ANLON HEALTHCARE LIMITED
AHLADA,Ahlada Engineers Limited
AHLEAST,Asian Hotels (East) Limited
AHLUCONT,Ahluwalia Contracts (India) Limited
AIAENG,AIA Engineering Limited
AIIL,Authum Investment & Infrastructure Limited
AIRAN,Airan Limited
AIROLAM,Airo Lam Limited
AJANTPHARM,Ajanta Pharma Limited
AJAXENGG,AJAX ENGINEERING LIMITED
AJMERA,Ajmera Realty & Infra India Limited
AJOONI,Ajooni Biotech Limited
AKASH,Akash Infra-Projects Limited
AKG,AKG Exim Limited
AKI,AKI India Limited
AKSHAR,Akshar Spintex Limited
AKSHARCHEM,AksharChem (India) Limited
AKSHOPTFBR,Aksh Optifibre Limited
AKUMS,AKUMS DRUGS AND PHARMA L
AKZOINDIA,Akzo Nobel India Limited
ALANKIT,Alankit Limited
ALBERTDAVD,Albert David Limited
ALEMBICLTD,Alembic Limited
ALICON,Alicon Castalloy Limited
ALIVUS,Alivus Life Sciences Limited
ALKALI,Alkali Metals Limited
ALKEM,Alkem Laboratories Limited
ALKYLAMINE,Alkyl Amines Chemicals Limited
ALLCARGO,Allcargo Logistics Limited
ALLDIGI,Alldigi Tech Limited
ALLTIME,ALL TIME PLASTICS LIMITED
ALMONDZ,Almondz Global Securities Limited
ALOKINDS,Alok Industries Limited
ALPA,Alpa Laboratories Limited
ALPHAGEO,Alphageo (India) Limited
ALPSINDUS,Alps Industries Limited
AMANTA,AMANTA HEALTHCARE LIMITED
AMBER,Amber Enterprises India Limited
AMBICAAGAR,Ambica Agarbathies Aroma & Industries Limited
AMBIKCO,Ambika Cotton Mills Limited
AMBUJACEM,Ambuja Cements Limited
AMDIND,AMD Industries Limited
AMJLAND,AMJ Land Holdings Limited
AMNPLST,Amines & Plasticizers Limited
AMRUTANJAN,Amrutanjan Health Care Limited
ANANDRATHI,Anand Rathi Wealth Limited
ANANTRAJ,Anant Raj Limited
ANDHRAPAP,Andhra Paper Limited
ANDHRSUGAR,The Andhra Sugars Limited
ANGELONE,Angel One Limited
ANIKINDS,Anik Industries Limited
ANKITMETAL,Ankit Metal & Power Limited
ANMOL,Anmol India Limited
ANSALAPI,Ansal Properties & Infrastructure Limited
ANTELOPUS,ANTELOPUS SELAN ENRGY LTD
ANTGRAPHIC,Antarctica Limited
ANTHEM,ANTHEM BIOSCIENCES LTD
ANUHPHR,Anuh Pharma Limited
ANUP,The Anup Engineering Limited
ANURAS,Anupam Rasayan India Ltd
APARINDS,APAR Industries Limited
APCL,Anjani Portland Cement Limited
APCOTEXIND,Apcotex Industries Limited
APEX,Apex Frozen Foods Limited
APLAPOLLO,APL Apollo Tubes Limited
APLLTD,Alembic Pharmaceuticals Limited
APOLLO,Apollo Micro Systems Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
APOLLOPIPE,Apollo Pipes Limited
APOLLOTYRE,Apollo Tyres Limited
APOLSINHOT,Apollo Sindoori Hotels Limited
APTECHT,Aptech Limited
APTUS,Aptus Value Housing Finance India Limited
ARCHIDPLY,Archidply Industries Limited
ARCHIES,Archies Limited
ARE&M,Amara Raja Energy & Mobility Limited
ARENTERP,Rajdarshan Industries Limited
ARFIN,Arfin India Limited
ARIES,Aries Agro Limited
ARIHANTCAP,Arihant Capital Markets Limited
ARIHANTSUP,Arihant Superstructures Limited
ARISINFRA,ARISINFRA SOLUTIONS LTD
ARKADE,ARKADE DEVELOPERS LIMITED
ARMANFIN,Arman Financial Services Limited
AROGRANITE,Aro Granite Industries Limited
ARROWGREEN,Arrow Greentech Limited
ARSHIYA,Arshiya Limited
ARSSBL,ANAND RATHI SH N STK BR L
ARTEMISMED,Artemis Medicare Services Limited
ARTNIRMAN,Art Nirman Limited
ARVEE,Arvee Laboratories (India) Ltd.
ARVIND,Arvind Limited
ARVINDFASN,Arvind Fashions Limited
ARVSMART,Arvind SmartSpaces Limited
ASAHIINDIA,Asahi India Glass Limited
ASAHISONG,Asahi Songwon Colors Limited
ASAL,Automotive Stampings and Assemblies Limited
ASALCBR,Associated Alcohols & Breweries Limited
ASHAPURMIN,Ashapura Minechem Limited
ASHIANA,Ashiana Housing Limited
ASHIMASYN,Ashima Limited
ASHOKA,Ashoka Buildcon Limited
ASHOKAMET,Ashoka Metcast Limited
ASHOKLEY,Ashok Leyland Limited
ASIANENE,Asian Energy Services Limited
ASIANHOTNR,Asian Hotels (North) Limited
ASIANPAINT,Asian Paints Limited
ASIANTILES,Asian Granito India Limited
ASKAUTOLTD,ASK AUTOMOTIVE LIMITED
ASMS,Bartronics India Limited
ASPINWALL,Aspinwall and Company Limited
ASTEC,Astec LifeSciences Limited
ASTERDM,Aster DM Healthcare Limited
ASTRAL,Astral Limited
ASTRAMICRO,Astra Microwave Products Limited
ASTRAZEN,AstraZeneca Pharma India Limited
ASTRON,Astron Paper & Board Mill Limited
ATALREAL,Atal Realtech Limited
ATAM,Atam Valves Limited
ATGL,Adani Total Gas Limited
ATHERENERG,Ather Energy Limited
ATL,Allcargo Terminals Limited
ATLANTAA,Atlantaa Limited
ATLANTAELE,ATLANTA ELECTRICALS LTD
ATLASCYCLE,Atlas Cycles (Haryana) Limited
ATUL,Atul Ltd
ATULAUTO,Atul Auto Limited
AUBANK,AU Small Finance Bank Limited
AURIGROW,Auri Grow India Limited
AURIONPRO,Aurionpro Solutions Limited
AUROPHARMA,Aurobindo Pharma Limited
AURUM,Aurum PropTech Limited
AUSOMENT,AuSom Enterprise Limited
AUTOAXLES,Automotive Axles Limited
AUTOIND,Autoline Industries Limited
AVADHSUGAR,Avadh Sugar & Energy Limited
AVALON,Avalon Technologies Limited
AVANTEL,Avantel Limited
AVANTIFEED,Avanti Feeds Limited
AVG,AVG Logistics Limited
AVL,Aditya Vision Limited
AVONMORE,Avonmore Capital & Management Services Limited
AVROIND,Avro India Limited
AVTNPL,AVT Natural Products Limited
AWFIS,AWFIS SPACE SOLUTIONS LTD
AWHCL,Antony Waste Handling Cell Limited
AWL,AWL Agri Business Limited
AXISBANK,Axis Bank Limited
AXISCADES,AXISCADES Technologies Limited
AXITA,Axita Cotton Limited
AYMSYNTEX,AYM Syntex Limited
AZAD,AZAD ENGINEERING LIMITED
BAFNAPH,Bafna Pharmaceuticals Limited
BAGFILMS,B.A.G. Films and Media Limited
BAIDFIN,Baid Finserv Limited
BAJAJ-AUTO,Bajaj Auto Limited
BAJAJCON,Bajaj Consumer Care Limited
BAJAJELEC,Bajaj Electricals Limited
BAJAJFINSV,Bajaj Finserv Ltd.
BAJAJHCARE,Bajaj HealthCare Limited
BAJAJHFL,BAJAJ HOUSING FINANCE LTD
BAJAJHIND,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited
BAJAJINDEF,INDEF MANUFACTURING LTD
BAJEL,Bajel Projects Limited
BAJFINANCE,Bajaj Finance Limited
BALAJEE,SHREE TIRUPATI BALAJEE L
BALAJITELE,Balaji Telefilms Limited
BALAMINES,Balaji Amines Limited
BALAXI,Balaxi Pharmaceuticals Limited
BALKRISHNA,Balkrishna Paper Mills Limited
BALKRISIND,Balkrishna Industries Limited
BALMLAWRIE,Balmer Lawrie & Co. Ltd.
BALPHARMA,Bal Pharma Limited
BALRAMCHIN,Balrampur Chini Mills Limited
BALUFORGE,Balu Forge Industries Limited
BANARBEADS,Banaras Beads Limited
BANARISUG,Bannari Amman Sugars Limited
BANCOINDIA,Banco Products (India) Limited
BANDHANBNK,Bandhan Bank Limited
BANG,Bang Overseas Limited
BANKA,Banka BioLoo Limited
BANKBARODA,Bank of Baroda Limited
BANKINDIA,Bank of India Limited
BANSALWIRE,BANSAL WIRE INDUSTRIES L
BANSWRAS,Banswara Syntex Limited
BASF,BASF India Limited
BASML,Bannari Amman Spinning Mills Ltd
BATAINDIA,Bata India Limited
BAYERCROP,Bayer CropScience Limited
BBL,Bharat Bijlee Limited
BBOX,Black Box Limited
BBTC,The Bombay Burmah Trading Corporation Limited
BBTCL,B&B Triplewall Containers Limited
BCG,Brightcom Group Limited
BCLIND,BCL Industries Limited
BCONCEPTS,Brand Concepts Limited
BDL,Bharat Dynamics Limited
BEARDSELL,Beardsell Limited
BECTORFOOD,Mrs. Bectors Food Specialities Limited
BEDMUTHA,Bedmutha Industries Limited
BEL,Bharat Electronics Limited
BELLACASA,Bella Casa Fashion & Retail Limited
BELRISE,BELRISE INDUSTRIES LTD
BEML,BEML Limited
BEPL,Bhansali Engineering Polymers Limited
BERGEPAINT,Berger Paints India Limited
BESTAGRO,Best Agrolife Limited
BETA,BETA DRUGS LIMITED
BFINVEST,BF Investment Limited
BFUTILITIE,BF Utilities Limited
BGRENERGY,BGR Energy Systems Limited
BHAGCHEM,Bhagiradha Chemicals & Industries Limited
BHAGERIA,Bhageria Industries Limited
BHAGYANGR,Bhagyanagar India Limited
BHANDARI,Bhandari Hosiery Exports Limited
BHARATFORG,Bharat Forge Limited
BHARATGEAR,Bharat Gears Limited
BHARATRAS,Bharat Rasayan Limited
BHARATSE,Bharat Seats Limited
BHARATWIRE,Bharat Wire Ropes Limited
BHARTIARTL,Bharti Airtel Limited
BHARTIHEXA,BHARTI HEXACOM LIMITED
BHEL,Bharat Heavy Electricals Limited
BIGBLOC,Bigbloc Construction Limited
BIKAJI,Bikaji Foods International Limited
BIL,Bhartiya International Ltd.
BILVYAPAR,BIL Vyapar Limited
BIOCON,Biocon Limited
BIOFILCHEM,Biofil Chemicals and Pharmaceuticals Limited
BIRLACABLE,Birla Cable Limited
BIRLACORPN,Birla Corporation Limited
BIRLAMONEY,Aditya Birla Money Limited
BIRLANU,BirlaNu Limited
BLACKBUCK,BlackBuck Limited
BLAL,BEML Land Assets Limited
BLBLIMITED,BLB Limited
BLISSGVS,Bliss GVS Pharma Limited
BLKASHYAP,B.L. Kashyap and Sons Limited
BLS,BLS International Services Limited
BLSE,BLS E-SERVICES LIMITED
BLUECOAST,Blue Coast Hotels Limited
BLUEDART,Blue Dart Express Limited
BLUEJET,Blue Jet Healthcare Limited
BLUESTARCO,Blue Star Limited
BLUESTONE,BLUESTONE JEWEL LFSTL LTD
BLUSPRING,Bluspring Enterprises Limited
BMWVENTLTD,BMW VENTURES LIMITED
BODALCHEM,Bodal Chemicals Limited
BOHRAIND,Bohra Industries Limited
BOMDYEING,The Bombay Dyeing and Manufacturing Company Limited
BORANA,BORANA WEAVES LIMITED
BOROLTD,Borosil Limited
BORORENEW,Borosil Renewables Limited
BOROSCI,Borosil Scientific Limited
BOSCH-HCIL,Bosch Home Comfort India Limited
BOSCHLTD,Bosch Limited
BPCL,Bharat Petroleum Corporation Limited
BPL,BPL Limited
BRIGADE,Brigade Enterprises Limited
BRIGHOTEL,BRIGADE HOTEL VENTURE LTD
BRITANNIA,Britannia Industries Limited
BRNL,Bharat Road Network Limited
BROOKS,Brooks Laboratories Limited
BSE,BSE Limited
BSHSL,Bombay Super Hybrid Seeds Limited
BSL,BSL Limited
BSOFT,Birlasoft Limited
BTML,Bodhi Tree Multimedia Limited
BUTTERFLY,Butterfly Gandhimathi Appliances Limited
BVCL,Barak Valley Cements Limited
BYKE,The Byke Hospitality Limited
CALSOFT,California Software Company Limited
CAMLINFINE,Camlin Fine Sciences Limited
CAMPUS,Campus Activewear Limited
CAMS,Computer Age Management Services Limited
CANBK,Canara Bank
CANFINHOME,Can Fin Homes Limited
CANHLIFE,CANARA HSBC LIFE INS CO L
CANTABIL,Cantabil Retail India Limited
CAPACITE,Capacit'e Infraprojects Limited
CAPILLARY,CAPILLARY TECHNO INDIA L
CAPITALSFB,Capital Small Finance Bank Limited
CAPLIPOINT,Caplin Point Laboratories Limited
CAPTRUST,Capital Trust Limited
CARBORUNIV,Carborundum Universal Limited
CARERATING,CARE Ratings Limited
CARRARO,CARRARO INDIA LIMITED
CARTRADE,CarTrade Tech Limited
CARYSIL,Carysil Limited
CASTROLIND,Castrol India Limited
CCCL,Consolidated Construction Consortium Limited
CCHHL,Country Club Hospitality & Holidays Limited
CCL,CCL Products (India) Limited
CDSL,Central Depository Services (India) Limited
CEATLTD,CEAT Limited
CEIGALL,CEIGALL INDIA LIMITED
CELEBRITY,Celebrity Fashions Limited
CELLO,Cello World Limited
CEMPRO,Cemindia Projects Limited
CENTENKA,Century Enka Limited
CENTEXT,Century Extrusions Limited
CENTRALBK,Central Bank of India
CENTRUM,Centrum Capital Limited
CENTUM,Centum Electronics Limited
CENTURYPLY,Century Plyboards (India) Limited
CERA,Cera Sanitaryware Limited
CEREBRAINT,Cerebra Integrated Technologies Limited
CESC,CESC Limited
CEWATER,CONCORD ENVIRO SYSTEMS L
CGCL,Capri Global Capital Limited
CGPOWER,CG Power and Industrial Solutions Limited
CHALET,Chalet Hotels Limited
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited
CHEMBOND,Chembond Material Technologies Limited
CHEMBONDCH,Chembond Chemicals Limited
CHEMCON,Chemcon Speciality Chemicals Limited
CHEMFAB,Chemfab Alkalis Limited
CHEMPLASTS,Chemplast Sanmar Limited
CHENNPETRO,Chennai Petroleum Corporation Limited
CHEVIOT,Cheviot Company Limited
CHOICEIN,Choice International Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
CHOLAHLDNG,Cholamandalam Financial Holdings Limited
CIEINDIA,CIE Automotive India Limited
CIFL,Capital India Finance Limited
CIGNITITEC,Cigniti Technologies Limited
CINELINE,Cineline India Limited
CINEVISTA,Cinevista Limited
CIPLA,Cipla Limited
CLEAN,Clean Science and Technology Limited
CLEDUCATE,CL Educate Limited
CLSEL,Chaman Lal Setia Exports Ltd.
CMSINFO,CMS Info Systems Limited
CNL,Creative Newtech Limited
COALINDIA,Coal India Limited
COASTCORP,Coastal Corporation Limited
COCHINSHIP,Cochin Shipyard Limited
COFFEEDAY,Coffee Day Enterprises Limited
COFORGE,Coforge Limited
COHANCE,COHANCE LIFESCIENCES LTD
COLPAL,Colgate-Palmolive (India) Limited
COMPINFO,Compuage Infocom Limited
COMPUSOFT,Compucom Software Limited
COMSYN,Commercial Syn Bags Limited
CONCOR,Container Corporation of India Limited
CONCORDBIO,Concord Biotech Limited
CONFIPET,Confidence Petroleum India Limited
CONSOFINVT,Consolidated Finvest & Holdings Limited
CONTROLPR,Control Print Limited
CORALFINAC,Coral India Finance and Housing Limited
CORDSCABLE,Cords Cable Industries Limited
COROMANDEL,Coromandel International Limited
CORONA,CORONA REMEDIES LIMITED
COSMOFIRST,Cosmo First Limited
COUNCODOS,Country Condo's Limited
CPCAP,CP Capital Limited
CPEDU,Career Point Edutech Ltd.
CPPLUS,ADITYA INFOTECH LIMITED
CRAFTSMAN,Craftsman Automation Limited
CRAMC,CANARA ROBECO AMC LIMITED
CREATIVEYE,Creative Eye Limited
CREDITACC,CreditAccess Grameen Limited
CREST,Crest Ventures Limited
CRISIL,CRISIL Limited
CRIZAC,CRIZAC LIMITED
CROMPTON,Crompton Greaves Consumer Electricals Limited
CROWN,Crown Lifters Limited
CSBBANK,CSB Bank Limited
CSLFINANCE,CSL Finance Limited
CTE,Cambridge Technology Enterprises Limited
CUB,City Union Bank Limited
CUBEXTUB,Cubex Tubings Limited
CUMMINSIND,Cummins India Limited
CUPID,Cupid Limited
CURAA,CURA TECHNOLOGIES LIMITED
CYBERMEDIA,Cyber Media (India) Limited
CYBERTECH,CyberTech Systems and Software Limited
CYIENT,Cyient Limited
CYIENTDLM,Cyient DLM Limited
DABUR,Dabur India Limited
DALBHARAT,Dalmia Bharat Limited
DALMIASUG,Dalmia Bharat Sugar and Industries Limited
DAMCAPITAL,DAM CAPITAL ADVISORS LTD
DAMODARIND,Damodar Industries Limited
DANGEE,Dangee Dums Limited
DATAMATICS,Datamatics Global Services Limited
DATAPATTNS,Data Patterns (India) Limited
DAVANGERE,Davangere Sugar Company Limited
DBCORP,D. B. Corp Limited
DBEIL,DEEPAK BUILDERS & ENG I L
DBL,Dilip Buildcon Limited
DBOL,Dhampur Bio Organics Limited
DBREALTY,Valor Estate Limited
DBSTOCKBRO,DB (International) Stock Brokers Limited
DCAL,Dishman Carbogen Amcis Limited
DCBBANK,DCB Bank Limited
DCI,DC Infotech and Communication Limited
DCM,DCM Limited
DCMFINSERV,DCM Financial Services Limited
DCMNVL,DCM Nouvelle Limited
DCMSHRIRAM,DCM Shriram Limited
DCMSRIND,DCM Shriram Industries Limited
DCW,DCW Limited
DCXINDIA,DCX Systems Limited
DDEVPLSTIK,Ddev Plastiks Industries Limited
DECCANCE,Deccan Cements Limited
DEEDEV,DEE DEVELOPMENT ENG LTD
DEEPAKFERT,Deepak Fertilisers And Petrochemicals Corporation Limited
DEEPAKNTR,Deepak Nitrite Limited
DEEPINDS,Deep Industries Limited
DELHIVERY,Delhivery Limited
DELPHIFX,Delphi World Money Limited
DELTACORP,Delta Corp Limited
DELTAMAGNT,Delta Manufacturing Limited
DEN,DEN Networks Limited
DENORA,De Nora India Limited
DENTA,DENTA WATER N INFRA SOL L
DEVIT,Dev Information Technology Limited
DEVX,Dev Accelerator Limited
DEVYANI,Devyani International Limited
DGCONTENT,Digicontent Limited
DHAMPURSUG,Dhampur Sugar Mills Limited
DHANBANK,Dhanlaxmi Bank Limited
DHANUKA,Dhanuka Agritech Limited
DHARAN,Dharan Infra-EPC Limited
DHARMAJ,Dharmaj Crop Guard Limited
DHRUV,Dhruv Consultancy Services Limited
DHUNINV,Dhunseri Investments Limited
DIACABS,Diamond Power Infrastructure Limited
DIAMINESQ,Diamines and Chemicals Limited
DIAMONDYD,Prataap Snacks Limited
DICIND,DIC India Limited
DIFFNKG,DIFFUSION ENGINEERS LTD
DIGIDRIVE,Digidrive Distributors Limited
DIGISPICE,DiGiSPICE Technologies Limited
DIGITIDE,Digitide Solutions Limited
DIGJAMLMTD,Digjam Limited
DIL,Debock Industries Limited
DISHTV,Dish TV India Limited
DIVGIITTS,Divgi TorqTransfer Systems Limited
DIVISLAB,Divi's Laboratories Limited
DIXON,Dixon Technologies (India) Limited
DJML,DJ Mediaprint & Logistics Limited
DLF,DLF Limited
DLINKINDIA,D-Link (India) Limited
DMART,Avenue Supermarts Limited
DMCC,DMCC Speciality Chemicals Limited
DNAMEDIA,Diligent Media Corporation Limited
DODLA,Dodla Dairy Limited
DOLATALGO,Dolat Algotech Limited
DOLLAR,Dollar Industries Limited
DOLPHIN,Dolphin Offshore Enterprises (India) Limited
DOMS,DOMS Industries Limited
DONEAR,Donear Industries Limited
DPABHUSHAN,D. P. Abhushan Limited
DPSCLTD,India Power Corporation Limited
DPWIRES,D.P. Wires Limited
DRCSYSTEMS,DRC Systems India Limited
DREAMFOLKS,Dreamfolks Services Limited
DREDGECORP,Dredging Corporation of India Limited
DRREDDY,Dr. Reddy's Laboratories Limited
DSSL,Dynacons Systems & Solutions Limited
DTIL,Dhunseri Tea & Industries Limited
DUCON,Ducon Infratechnologies Limited
DVL,Dhunseri Ventures Limited
DWARKESH,Dwarikesh Sugar Industries Limited
DYCL,Dynamic Cables Limited
DYNAMATECH,Dynamatic Technologies Limited
DYNPRO,Dynemic Products Limited
E2E,E2E Networks Limited
EASEMYTRIP,Easy Trip Planners Limited
EBGNG,GNG ELECTRONICS LIMITED
ECLERX,eClerx Services Limited
ECOSMOBLTY,ECOS (INDIA) MOB & HOSP L
EDELWEISS,Edelweiss Financial Services Limited
EFCIL,EFC (I) Limited
EICHERMOT,Eicher Motors Limited
EIDPARRY,E.I.D.- Parry (India) Limited
EIEL,ENVIRO INFRA ENGINEERS L
EIFFL,Euro India Fresh Foods Limited
EIHAHOTELS,EIH Associated Hotels Limited
EIHOTEL,EIH Limited
EIMCOELECO,Eimco Elecon (India) Limited
EKC,Everest Kanto Cylinder Limited
