symbol,name
ELDEHSG,Eldeco Housing and Industries Limited
ELECON,Elecon Engineering Company Limited
ELECTCAST,Electrosteel Castings Limited
ELECTHERM,Electrotherm (India) Limited
ELGIEQUIP,Elgi Equipments Limited
ELGIRUBCO,Elgi Rubber Company Limited
ELIN,Elin Electronics Limited
ELLEN,ELLENBARRIE INDUS GASES L
EMAMILTD,Emami Limited
EMAMIPAP,Emami Paper Mills Limited
EMAMIREAL,Emami Realty Limited
EMBDL,Embassy Developments Limited
EMCURE,EMCURE PHARMACEUTICALS L
EMIL,Electronics Mart India Limited
EMKAY,Emkay Global Financial Services Limited
EMMBI,Emmbi Industries Limited
EMMVEE,EMMVEE PHOTOVOLTAIC PWR L
EMSLIMITED,EMS Limited
EMUDHRA,eMudhra Limited
ENDURANCE,Endurance Technologies Limited
ENERGYDEV,Energy Development Company Limited
ENGINERSIN,Engineers India Limited
ENIL,Entertainment Network (India) Limited
ENRIN,Siemens Energy India Limited
ENTERO,Entero Healthcare Solutions Limited
EPACK,EPACK Durable Limited
EPACKPEB,EPACK PREFAB TECHN LTD
EPIGRAL,Epigral Limited
EPL,EPL Limited
EQUIPPP,Equippp Social Impact Technologies Limited
EQUITASBNK,Equitas Small Finance Bank Limited
ERIS,Eris Lifesciences Limited
ESABINDIA,ESAB India Limited
ESAFSFB,ESAF Small Finance Bank
ESCORTS,Escorts Kubota Limited
ESSARSHPNG,Essar Shipping Limited
ESSENTIA,Integra Essentia Limited
ESTER,Ester Industries Limited
ETERNAL,Eternal Limited
ETHOSLTD,Ethos Limited
EUREKAFORB,Eureka Forbes Limited
EUROBOND,EURO PANEL PRODUCTS LTD
EUROPRATIK,EURO PRATIK SALES LIMITED
EUROTEXIND,Eurotex Industries and Exports Limited
EVEREADY,Eveready Industries India Limited
EVERESTIND,Everest Industries Limited
EXCEL,Excel Realty N Infra Limited
EXCELINDUS,Excel Industries Limited
EXCELSOFT,EXCELSOFT TECHNOLOGIES L
EXICOM,Exicom Tele-Systems Limited
EXIDEIND,Exide Industries Limited
EXPLEOSOL,Expleo Solutions Limited
EXXARO,Exxaro Tiles Limited
FABTECH,FABTECH TECHNOLOGIES LTD
FACT,The Fertilisers and Chemicals Travancore Limited
FAIRCHEMOR,Fairchem Organics Limited
FAZE3Q,Faze Three Limited
FCL,Fineotex Chemical Limited
FCSSOFT,FCS Software Solutions Limited
FDC,FDC Limited
FEDERALBNK,The Federal Bank Limited
FEDFINA,Fedbank Financial Services Limited
FEL,Future Enterprises Limited
FELDVR,Future Enterprises Limited
FIBERWEB,Fiberweb (India) Limited
FIEMIND,Fiem Industries Limited
FILATEX,Filatex India Limited
FILATFASH,Filatex Fashions Limited
FINCABLES,Finolex Cables Limited
FINEORG,Fine Organic Industries Limited
FINKURVE,Finkurve Financial Services Limited
FINOPB,Fino Payments Bank Limited
FINPIPE,Finolex Industries Limited
FIRSTCRY,BRAINBEES SOLUTIONS LTD
FISCHER,Fischer Medical Ventures Limited
FIVESTAR,Five-Star Business Finance Limited
FLAIR,FLAIR WRITING INDUST LTD
FLEXITUFF,Flexituff Ventures International Limited
FLFL,Future Lifestyle Fashions Limited
FLUOROCHEM,Gujarat Fluorochemicals Limited
FMGOETZE,Federal-Mogul Goetze (India) Limited
FMNL,Future Market Networks Limited
FOCUS,Focus Lighting and Fixtures Limited
FOODSIN,Foods and Inns Limited
FORCEMOT,Force Motors Limited
FORTIS,Fortis Healthcare Limited
FOSECOIND,Foseco India Limited
FSL,Firstsource Solutions Limited
FUSION,Fusion Finance Limited
GABRIEL,Gabriel India Limited
GAEL,Gujarat Ambuja Exports Limited
GAIL,GAIL (India) Limited
GALAPREC,GALA PRECISION ENG LTD
GALAXYSURF,Galaxy Surfactants Limited
GALLANTT,Gallantt Ispat Limited
GANDHAR,Gandhar Oil Refinery (India) Limited
GANDHITUBE,Gandhi Special Tubes Limited
GANECOS,Ganesha Ecosphere Limited
GANESHBE,Ganesh Benzoplast Limited
GANESHCP,GANESH CONSUMER PRODUCT L
GANESHHOU,Ganesh Housing Limited
GANGAFORGE,Ganga Forging Limited
GANGESSECU,Ganges Securities Limited
GARFIBRES,Garware Technical Fibres Limited
GARUDA,GARUDA CONSTRUCT N ENG L
GATECH,GACM Technologies Limited
GATECHDVR,GACM Technologies Limited
GATEWAY,Gateway Distriparks Limited
GAYAHWS,Gayatri Highways Limited
GCSL,Gretex Corporate Services Limited
GEECEE,GeeCee Ventures Limited
GEEKAYWIRE,Geekay Wires Limited
GEMAROMA,GEM AROMATICS LIMITED
GENCON,Generic Engineering Construction and Projects Limited
GENESYS,Genesys International Corporation Limited
GENSOL,Gensol Engineering Limited
GENUSPAPER,Genus Paper & Boards Limited
GENUSPOWER,Genus Power Infrastructures Limited
GEOJITFSL,Geojit Financial Services Limited
GESHIP,The Great Eastern Shipping Company Limited
GFLLIMITED,GFL Limited
GHCL,GHCL Limited
GHCLTEXTIL,GHCL Textiles Limited
GICHSGFIN,GIC Housing Finance Limited
GICRE,General Insurance Corporation of India
GILLANDERS,Gillanders Arbuthnot and Company Limited
GILLETTE,Gillette India Limited
GINNIFILA,Ginni Filaments Limited
GIPCL,Gujarat Industries Power Company Limited
GKENERGY,GK ENERGY LIMITED
GKWLIMITED,GKW Limited
GLAND,Gland Pharma Limited
GLAXO,GlaxoSmithKline Pharmaceuticals Limited
GLENMARK,Glenmark Pharmaceuticals Limited
GLOBAL,Global Education Limited
GLOBALE,Globale Tessile Limited
GLOBALVECT,Global Vectra Helicorp Limited
GLOBE,Globe Enterprises (India) Limited
GLOBECIVIL,GLOBE CIVIL PROJECTS LTD
GLOBUSSPR,Globus Spirits Limited
GLOSTERLTD,Gloster Limited
GLOTTIS,GLOTTIS LIMITED
GMBREW,G.M. Breweries Limited
GMDCLTD,Gujarat Mineral Development Corporation Limited
GMMPFAUDLR,GMM Pfaudler Limited
GMRAIRPORT,GMR Airports Limited
GMRP&UI,GMR Power And Urban Infra Limited
GNA,G N A Axles Limited
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Limited
GOACARBON,Goa Carbon Limited
GOCLCORP,GOCL Corporation Limited
GOCOLORS,Go Fashion (India) Limited
GODAVARIB,GODAVARI BIOREFINERIES L
GODFRYPHLP,Godfrey Phillips India Limited
GODIGIT,GO DIGIT GENERAL INS LTD
GODREJAGRO,Godrej Agrovet Limited
GODREJCP,Godrej Consumer Products Limited
GODREJIND,Godrej Industries Limited
GODREJPROP,Godrej Properties Limited
GOKEX,Gokaldas Exports Limited
GOKUL,Gokul Refoils & Solvent Limited
GOKULAGRO,Gokul Agro Resources Limited
GOLDENTOBC,Golden Tobacco Limited
GOLDIAM,Goldiam International Limited
GOLDTECH,AION-TECH Solutions Limited
GOODLUCK,Goodluck India Limited
GOPAL,Gopal Snacks Limited
GOYALALUM,Goyal Aluminiums Limited
GPIL,Godawari Power & Ispat Limited
GPPL,Gujarat Pipavav Port Limited
GPTHEALTH,GPT Healthcare Limited
GPTINFRA,GPT Infraprojects Limited
GRANULES,Granules India Limited
GRAPHITE,Graphite India Limited
GRASIM,Grasim Industries Limited
GRAVITA,Gravita India Limited
GREAVESCOT,Greaves Cotton Limited
GREENLAM,Greenlam Industries Limited
GREENPANEL,Greenpanel Industries Limited
GREENPLY,Greenply Industries Limited
GREENPOWER,Orient Green Power Company Limited
GRINDWELL,Grindwell Norton Limited
GRINFRA,G R Infraprojects Limited
GRMOVER,GRM Overseas Limited
GROBTEA,The Grob Tea Company Limited
GROWW,BILLIONBRAINS GARAGE VN L
GRPLTD,GRP Limited
GRSE,Garden Reach Shipbuilders & Engineers Limited
GRWRHITECH,Garware Hi-Tech Films Limited
GSFC,Gujarat State Fertilizers & Chemicals Limited
GSLSU,Global Surfaces Limited
GSPL,Gujarat State Petronet Limited
GSS,GSS Infotech Limited
GTECJAINX,G-Tec Jainx Education Limited
GTL,GTL Limited
GTLINFRA,GTL Infrastructure Limited
GTPL,GTPL Hathway Limited
GUFICBIO,Gufic Biosciences Limited
GUJALKALI,Gujarat Alkalies and Chemicals Limited
GUJAPOLLO,Gujarat Apollo Industries Limited
GUJGASLTD,Gujarat Gas Limited
GUJRAFFIA,Gujarat Raffia Industries Limited
GUJTHEM,Gujarat Themis Biosyn Limited
GULFOILLUB,Gulf Oil Lubricants India Limited
GULFPETRO,GP Petroleums Limited
GULPOLY,Gulshan Polyols Limited
GVKPIL,GVK Power & Infrastructure Limited
GVPIL,GE Power India Limited
GVPTECH,GVP Infotech Limited
GVT&D,GE Vernova T&D India Ltd
HAL,Hindustan Aeronautics Limited
HALEOSLABS,Haleos Labs Limited
HAPPSTMNDS,Happiest Minds Technologies Limited
HAPPYFORGE,HAPPY FORGINGS LIMITED
HARDWYN,Hardwyn India Limited
HARIOMPIPE,Hariom Pipe Industries Limited
HARRMALAYA,Harrisons Malayalam Limited
HARSHA,Harsha Engineers International Limited
HATHWAY,Hathway Cable and Datacom Limited
HATSUN,Hatsun Agro Product Limited
HAVELLS,Havells India Limited
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited
HBLENGINE,HBL ENGINEERING LTD
HBSL,HB Stockholdings Limited
HCC,Hindustan Construction Company Limited
HCG,HealthCare Global Enterprises Limited
HCL-INSYS,HCL Infosystems Limited
HCLTECH,HCL Technologies Limited
HDBFS,HDB FINANCIAL SERVICES L
HDFCAMC,HDFC Asset Management Company Limited
HDFCBANK,HDFC Bank Limited
HDFCLIFE,HDFC Life Insurance Company Limited
HDIL,Housing Development and Infrastructure Limited
HEADSUP,Heads UP Ventures Limited
HECPROJECT,HEC Infra Projects Limited
HEG,HEG Limited
HEIDELBERG,HeidelbergCement India Limited
HEMIPROP,Hemisphere Properties India Limited
HERANBA,Heranba Industries Limited
HERCULES,Hercules Investments Limited
HERITGFOOD,Heritage Foods Limited
HEROMOTOCO,Hero MotoCorp Limited
HESTERBIO,Hester Biosciences Limited
HEUBACHIND,Sudarshan Colorants India Limited
HEXATRADEX,Hexa Tradex Limited
HEXT,Hexaware Technologies Limited
HFCL,HFCL Limited
HGINFRA,H.G. Infra Engineering Limited
HGM,Handson Global Management (HGM) Limited
HGS,Hinduja Global Solutions Limited
HIKAL,Hikal Limited
HILINFRA,HIGHWAY INFRASTRUCTURE L
HILTON,Hilton Metal Forging Limited
HIMATSEIDE,Himatsingka Seide Limited
HINDALCO,Hindalco Industries Limited
HINDCOMPOS,Hindustan Composites Limited
HINDCON,Hindcon Chemicals Limited
HINDCOPPER,Hindustan Copper Limited
HINDOILEXP,Hindustan Oil Exploration Company Limited
HINDPETRO,Hindustan Petroleum Corporation Limited
HINDUNILVR,Hindustan Unilever Limited
HINDWAREAP,Hindware Home Innovation Limited
HINDZINC,Hindustan Zinc Limited
HIRECT,Hind Rectifiers Limited
HISARMETAL,Hisar Metal Industries Limited
HITECH,Hi-Tech Pipes Limited
HITECHCORP,Hitech Corporation Limited
HITECHGEAR,The Hi-Tech Gears Limited
HLEGLAS,HLE Glascoat Limited
HLVLTD,HLV Limited
HMAAGRO,HMA Agro Industries Limited
HMT,HMT Limited
HMVL,Hindustan Media Ventures Limited
HNDFDS,Hindustan Foods Limited
HOMEFIRST,Home First Finance Company India Limited
HONASA,Honasa Consumer Limited
HONAUT,Honeywell Automation India Limited
HONDAPOWER,Honda India Power Products Limited
HPAL,HP Adhesives Limited
HPIL,Hindprakash Industries Limited
HPL,HPL Electric & Power Limited
HSCL,Himadri Speciality Chemical Limited
HTMEDIA,HT Media Limited
HUBTOWN,Hubtown Limited
HUDCO,Housing and Urban Development Corporation Limited
HUHTAMAKI,Huhtamaki India Limited
HYBRIDFIN,Hybrid Financial Services Limited
HYUNDAI,HYUNDAI MOTOR INDIA LTD
IBULLSLTD,INDIABULLS LIMITED
ICDSLTD,ICDS Limited
ICEMAKE,Ice Make Refrigeration Limited
ICICIAMC,ICICI PRUDENTIAL AMC LTD
ICICIBANK,ICICI Bank Limited
ICICIGI,ICICI Lombard General Insurance Company Limited
ICICIPRULI,ICICI Prudential Life Insurance Company Limited
ICIL,Indo Count Industries Limited
ICRA,ICRA Limited
IDBI,IDBI Bank Limited
IDEA,Vodafone Idea Limited
IDEAFORGE,ideaForge Technology Limited
IDFCFIRSTB,IDFC First Bank Limited
IEX,Indian Energy Exchange Limited
IFBAGRO,IFB Agro Industries Limited
IFBIND,IFB Industries Limited
IFCI,IFCI Limited
IFGLEXPOR,IFGL Refractories Limited
IGARASHI,Igarashi Motors India Limited
IGCL,INDOGULF CROPSCIENCES LTD
IGIL,International Gemmological Institute (India) Limited
IGL,Indraprastha Gas Limited
IGPL,I G Petrochemicals Limited
IIFL,IIFL Finance Limited
IIFLCAPS,IIFL Capital Services Limited
IITL,Industrial Investment Trust Limited
IKIO,IKIO Technologies Limited
IKS,INVENTURUS KNOWLEDGE SO L
IL&FSENGG,IL&FS Engineering and Construction Company Limited
IL&FSTRANS,IL&FS Transportation Networks Limited
IMAGICAA,Imagicaaworld Entertainment Limited
IMFA,Indian Metals and Ferro Alloys Limited
IMPAL,India Motor Parts & Accessories Limited
IMPEXFERRO,Impex Ferro Tech Limited
INCREDIBLE,Incredible Industries Limited
INDBANK,Indbank Merchant Banking Services Limited
INDGN,INDEGENE LIMITED
INDHOTEL,The Indian Hotels Company Limited
INDIACEM,The India Cements Limited
INDIAGLYCO,India Glycols Limited
INDIAMART,IndiaMART InterMESH Limited
INDIANB,Indian Bank
INDIANCARD,The Indian Card Clothing Company Limited
INDIANHUME,The Indian Hume Pipe Company Limited
INDIASHLTR,India Shelter Finance Corporation Limited
INDIGO,InterGlobe Aviation Limited
INDIGOPNTS,Indigo Paints Limited
INDIQUBE,INDIQUBE SPACES LIMITED
INDNIPPON,India Nippon Electricals Limited
INDOAMIN,Indo Amines Limited
INDOBORAX,Indo Borax & Chemicals Limited
INDOCO,Indoco Remedies Limited
INDOFARM,INDO FARM EQUIPMENT LTD
INDORAMA,Indo Rama Synthetics (India) Limited
INDOSTAR,IndoStar Capital Finance Limited
INDOTECH,Indo Tech Transformers Limited
INDOTHAI,Indo Thai Securities Limited
INDOUS,Indo Us Bio-Tech Limited
INDOWIND,Indowind Energy Limited
INDRAMEDCO,Indraprastha Medical Corporation Limited
INDSWFTLAB,Ind-Swift Laboratories Limited
INDTERRAIN,Indian Terrain Fashions Limited
INDUSINDBK,IndusInd Bank Limited
INDUSTOWER,Indus Towers Limited
INFIBEAM,Infibeam Avenues Limited
INFOBEAN,InfoBeans Technologies Limited
INFOMEDIA,Infomedia Press Limited
INFY,Infosys Limited
INGERRAND,Ingersoll-Rand (India) Limited
INNOVACAP,Innova Captab Limited
INNOVANA,INNOVANA THINKLABS LTD
INOXGREEN,Inox Green Energy Services Limited
INOXINDIA,INOX India Limited
INOXWIND,Inox Wind Limited
INSECTICID,Insecticides (India) Limited
INSPIRISYS,Inspirisys Solutions Limited
INTELLECT,Intellect Design Arena Limited
INTENTECH,Intense Technologies Limited
INTERARCH,Interarch Building Solutions Limited
INTLCONV,International Conveyors Limited
INVENTURE,Inventure Growth & Securities Limited
IOB,Indian Overseas Bank
IOC,Indian Oil Corporation Limited
IOLCP,IOL Chemicals and Pharmaceuticals Limited
IONEXCHANG,Ion Exchange (India) Limited
IPCALAB,Ipca Laboratories Limited
IPL,India Pesticides Limited
IRB,IRB Infrastructure Developers Limited
IRCON,Ircon International Limited
IRCTC,Indian Railway Catering & Tourism Corporation Limited
IREDA,Indian Renewable Energy Development Agency Limited
IRFC,Indian Railway Finance Corporation Limited
IRIS,IRIS RegTech Solutions Limited
IRISDOREME,Iris Clothings Limited
IRMENERGY,IRM Energy Limited
ISFT,IntraSoft Technologies Limited
ISGEC,Isgec Heavy Engineering Limited
ISHANCH,Ishan Dyes and Chemicals Limited
ITC,ITC Limited
ITCHOTELS,ITC HOTELS LIMITED
ITDC,India Tourism Development Corporation Limited
ITI,ITI Limited
IVALUE,iValue Infosolutions Limited
IVC,IL&FS Investment Managers Limited
IVP,IVP Limited
IXIGO,LE TRAVENUES TECHNOLOGY L
IZMO,IZMO Limited
J&KBANK,Jammu and Kashmir Bank Limited
JAGRAN,Jagran Prakashan Limited
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
JAIBALAJI,Jai Balaji Industries Limited
JAICORPLTD,Jai Corp Limited
JAINREC,JAIN RESOURCE RECYCLING L
JAIPURKURT,Nandani Creation Limited
JAMNAAUTO,Jamna Auto Industries Limited
JARO,JARO INS OF TEC MG N RE L
JASH,Jash Engineering Limited
JAYAGROGN,Jayant Agro-Organics Limited
JAYBARMARU,Jay Bharat Maruti Limited
JAYKAY,Jaykay Enterprises Limited
JAYNECOIND,Jayaswal Neco Industries Limited
JAYSREETEA,Jay Shree Tea & Industries Limited
JBCHEPHARM,J. B. Chemicals & Pharmaceuticals Limited
JBMA,JBM Auto Limited
JETFREIGHT,Jet Freight Logistics Limited
JGCHEM,J.G.CHEMICALS LIMITED
JHS,JHS Svendgaard Laboratories Limited
JINDALPHOT,Jindal Photo Limited
JINDALPOLY,Jindal Poly Films Limited
JINDALSAW,Jindal Saw Limited
JINDALSTEL,Jindal Steel Limited
JINDRILL,Jindal Drilling & Industries Limited
JINDWORLD,Jindal Worldwide Limited
JIOFIN,Jio Financial Services Limited
JISLDVREQS,Jain Irrigation Systems Limited
JISLJALEQS,Jain Irrigation Systems Limited
JITFINFRA,JITF Infralogistics Limited
JKCEMENT,J.K. Cement Limited
JKIL,J. Kumar Infraprojects Limited
JKIPL,JINKUSHAL INDUSTRIES LTD
JKLAKSHMI,JK Lakshmi Cement Limited
JKPAPER,JK Paper Limited
JKTYRE,JK Tyre & Industries Limited
JLHL,Jupiter Life Line Hospitals Limited
JMA,Jullundur Motor Agency (Delhi) Limited
JMFINANCIL,JM Financial Limited
JNKINDIA,JNK India Limited
JOCIL,Jocil Limited
JPOLYINVST,Jindal Poly Investment and Finance Company Limited
JPPOWER,Jaiprakash Power Ventures Limited
JSFB,Jana Small Finance Bank Limited
JSL,Jindal Stainless Limited
JSLL,JEENA SIKHO LIFECARE LTD
JSWCEMENT,JSW CEMENT LIMITED
JSWENERGY,JSW Energy Limited
JSWHL,JSW Holdings Limited
JSWINFRA,JSW Infrastructure Limited
JSWSTEEL,JSW Steel Limited
JTEKTINDIA,JTEKT India Limited
JTLIND,JTL Industries Limited
JUBLCPL,Jubilant Agri and Consumer Products Limited
JUBLFOOD,Jubilant FoodWorks Limited
JUBLINGREA,Jubilant Ingrevia Limited
JUBLPHARMA,Jubilant Pharmova Limited
JUNIPER,Juniper Hotels Limited
JUSTDIAL,Just Dial Limited
JWL,Jupiter Wagons Limited
JYOTHYLAB,Jyothy Labs Limited
JYOTICNC,Jyoti CNC Automation Limited
JYOTISTRUC,Jyoti Structures Limited
KABRAEXTRU,Kabra Extrusiontechnik Limited
KAJARIACER,Kajaria Ceramics Limited
KAKATCEM,Kakatiya Cement Sugar and Industries Limited
KALAMANDIR,Sai Silks (Kalamandir) Limited
KALPATARU,KALPATARU LIMITED
KALYANI,Kalyani Commercials Limited
KALYANIFRG,Kalyani Forge Limited
KALYANKJIL,Kalyan Jewellers India Limited
KAMATHOTEL,Kamat Hotels (India) Limited
KAMDHENU,Kamdhenu Limited
KAMOPAINTS,Kamdhenu Ventures Limited
KANANIIND,Kanani Industries Limited
KANORICHEM,Kanoria Chemicals & Industries Limited
KANPRPLA,Kanpur Plastipack Limited
KANSAINER,Kansai Nerolac Paints Limited
KAPSTON,Kapston Services Limited
KARMAENG,Karma Energy Limited
KARURVYSYA,The Karur Vysya Bank Limited
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited
KAVDEFENCE,KAVVERI DFS & WIR TEC LTD
KAYA,Kaya Limited
KAYNES,Kaynes Technology India Limited
KCP,The KCP Limited
KCPSUGIND,K.C.P. Sugar and Industries Corporation Limited
KDDL,KDDL Limited
KEC,KEC International Limited
KECL,Kirloskar Electric Company Limited
KEEPLEARN,DSJ Keep Learning Limited
KEI,KEI Industries Limited
KELLTONTEC,Kellton Tech Solutions Limited
KERNEX,Kernex Microsystems (India) Limited
KESORAMIND,Kesoram Industries Limited
KEYFINSERV,Keynote Financial Services Limited
KFINTECH,KFin Technologies Limited
KHADIM,Khadim India Limited
KHAICHEM,Khaitan Chemicals and Fertilizers Limited
KHAITANLTD,Khaitan (India) Limited
KHANDSE,Khandwala Securities Limited
KICL,Kalyani Investment Company Limited
KILITCH,Kilitch Drugs (India) Limited
KIMS,Krishna Institute of Medical Sciences Limited
KINGFA,Kingfa Science & Technology (India) Limited
KIOCL,KIOCL Limited
KIRIINDUS,Kiri Industries Limited
KIRLOSBROS,Kirloskar Brothers Limited
KIRLOSENG,Kirloskar Oil Engines Limited
KIRLOSIND,Kirloskar Industries Limited
KIRLPNU,Kirloskar Pneumatic Company Limited
KITEX,Kitex Garments Limited
KKCL,Kewal Kiran Clothing Limited
KMEW,Knowledge Marine & Engineering Works Limited
KMSUGAR,K.M. Sugar Mills Limited
KNAGRI,KN AGRI RESOURCES LIMITED
KNRCON,KNR Constructions Limited
KOHINOOR,Kohinoor Foods Limited
KOKUYOCMLN,Kokuyo Camlin Limited
KOLTEPATIL,Kolte-Patil Developers Limited
KOPRAN,Kopran Limited
KOTAKBANK,Kotak Mahindra Bank Limited
KOTARISUG,Kothari Sugars and Chemicals Limited
KOTHARIPET,Kothari Petrochemicals Limited
KOTHARIPRO,Kothari Products Limited
KPEL,K.P. Energy Limited
KPIGREEN,KPI Green Energy Limited
KPIL,Kalpataru Projects International Limited
KPITTECH,KPIT Technologies Limited
KPRMILL,K.P.R. Mill Limited
KRBL,KRBL Limited
KREBSBIO,Krebs Biochemicals & Industries Limited
KRIDHANINF,Kridhan Infra Limited
KRISHANA,Krishana Phoschem Limited
KRISHFL-RE,
KRISHIVAL,KRISHIVAL FOODS LIMITED
KRITI,Kriti Industries (India) Limited
KRITIKA,Kritika Wires Limited
KRITINUT,Kriti Nutrients Limited
KRN,KRN HEAT EXCHANGE N REF L
KRONOX,KRONOX LAB SCIENCES LTD
KROSS,KROSS LIMITED
KRSNAA,Krsnaa Diagnostics Limited
KRYSTAL,KRYSTAL INTEGRATED SER L
KSB,KSB Limited
KSCL,Kaveri Seed Company Limited
KSHINTL,
KSHITIJPOL,Kshitij Polyline Limited
KSL,Kalyani Steels Limited
